time,count,count In,count Out
23:42:34,9,3,6
23:43:50,2,1,1
23:43:56,8,4,4
23:43:57,6,3,3
23:43:58,30,3,27
23:43:59,1,0,1
23:45:00,9,2,7
23:45:08,5,4,1
23:45:36,2,0,2
23:45:40,4,1,3
23:45:56,6,3,3
23:46:10,1,0,1
23:46:21,3,0,3
23:46:26,1,0,1
23:46:41,2,1,1
23:46:49,3,2,1
23:47:12,3,1,2
23:47:19,1,1,0
23:47:38,1,0,1
23:47:41,1,0,1
23:47:42,1,0,1
23:47:45,2,0,2
23:48:03,2,1,1
23:48:09,2,1,1
23:48:25,2,1,1
23:48:26,22,4,18
23:48:27,30,19,11
23:48:28,21,10,11
23:48:29,7,3,4
23:48:30,3,1,2
23:48:38,3,0,3
23:48:49,3,1,2
23:48:56,1,0,1
23:48:57,4,2,2
23:48:58,14,7,7
23:48:59,43,21,22
23:49:05,4,0,4
23:49:08,1,0,1
23:49:11,8,3,5
23:49:12,2,1,1
23:49:14,5,0,5
23:49:24,1,1,0
23:49:27,2,1,1
23:49:34,1,0,1
23:49:37,1,0,1
23:49:44,2,0,2
23:49:46,1,0,1
23:49:58,2,0,2
23:50:00,1,0,1
23:50:02,1,0,1
23:50:04,9,0,9
23:50:11,1,0,1
23:50:12,1,1,0
23:50:31,1,0,1
23:50:44,1,0,1
23:50:49,1,1,0
23:50:52,2,1,1
23:50:53,1,0,1
23:50:54,1,1,0
23:50:55,1,0,1
23:50:56,1,0,1
23:50:58,1,0,1
23:51:05,1,0,1
23:51:07,4,2,2
23:51:17,1,0,1
23:51:18,1,0,1
23:51:19,1,1,0
23:51:21,4,1,3
23:51:37,1,0,1
23:51:39,3,1,2
23:51:48,1,0,1
23:51:49,1,1,0
23:52:04,2,1,1
23:52:23,4,2,2
23:52:27,1,0,1
23:52:29,1,0,1
23:52:46,1,0,1
23:52:54,4,2,2
23:53:07,1,0,1
23:53:09,2,1,1
23:53:14,4,2,2
23:53:20,1,0,1
23:53:38,10,4,6
23:53:47,2,1,1
23:53:53,1,1,0
23:53:55,2,1,1
23:53:56,8,0,8
23:53:57,33,20,13
23:53:58,3,2,1
23:54:26,1,0,1
23:54:55,4,0,4
23:54:56,2,1,1
23:55:14,14,5,9
23:55:20,14,5,9
23:55:41,66,10,56
23:55:46,5,2,3
23:56:00,3,0,3
23:56:21,69,3,66
23:56:22,31,2,29
23:56:41,5,0,5
23:56:42,15,7,8
23:56:49,14,4,10
23:56:57,4,2,2
23:57:11,2,1,1
23:57:16,5,2,3
23:57:47,4,1,3
23:57:59,7,2,5
23:58:04,2,1,1
23:58:09,4,1,3
23:58:13,1,0,1
23:58:15,1,1,0
23:58:26,1,1,0
23:58:35,5,2,3
23:58:38,4,2,2
23:58:42,4,2,2
23:58:46,4,1,3
23:59:10,14,4,10
23:59:12,1,0,1
23:59:23,2,1,1
23:59:25,1,0,1
23:59:28,1,0,1
23:59:34,1,0,1
23:59:38,1,0,1
23:59:43,1,0,1
23:59:45,4,2,2
23:59:50,4,1,3
